127.0.0.1 - - [21/May/2016:18:58:38 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/May/2016:18:58:43 +0300] "GET /com.vogella.jersey.first/ HTTP/1.1" 404 1044
192.168.1.112 - - [21/May/2016:18:58:55 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:18:58:58 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 39
192.168.1.112 - - [21/May/2016:18:58:59 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 39
192.168.1.112 - - [21/May/2016:18:59:00 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 39
192.168.1.112 - - [21/May/2016:18:59:01 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 78
192.168.1.112 - - [21/May/2016:18:59:02 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 102
192.168.1.112 - - [21/May/2016:18:59:03 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 106
192.168.1.112 - - [21/May/2016:18:59:04 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 131
192.168.1.112 - - [21/May/2016:18:59:05 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:18:59:05 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 132
192.168.1.112 - - [21/May/2016:18:59:06 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 124
192.168.1.112 - - [21/May/2016:18:59:07 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 121
192.168.1.112 - - [21/May/2016:18:59:08 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 131
192.168.1.112 - - [21/May/2016:18:59:09 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 131
192.168.1.112 - - [21/May/2016:18:59:10 +0300] "GET /com.vogella.jersey.first/rest/hello HTTP/1.1" 200 53
192.168.1.112 - - [21/May/2016:18:59:10 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:18:59:11 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 133
192.168.1.112 - - [21/May/2016:18:59:12 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 130
192.168.1.112 - - [21/May/2016:18:59:13 +0300] "POST /com.vogella.jersey.first/rest/hello/crunchifyService HTTP/1.1" 200 132
